Alcalinity of ash,Proanthocyanins,Flavanoids,Cultivars
20,0.68,0.34,3
20,1.97,3.14,1
15.2,1.97,3.39,1
22,1.35,1.75,2
19,1.87,3.1,2
22,1.63,1.25,2
16,1.98,2.33,1
21.5,1.14,1.39,3
18.5,1.14,0.78,3
22,1.03,0.68,3
26,1.34,1.61,2
25,1.1,0.6,3
18,0.94,1.25,3
18.8,2.38,2.92,1
15.5,1.37,2.64,1
21,1.65,2.14,2
19.4,1.76,2.97,1
18.6,1.98,2.41,1
18,2.38,3.32,1
16.7,2.04,3.67,1
16.1,1.45,2.94,1
17.5,1.4,2.17,2
21.5,2.01,2.65,2
17,0.42,1.3,2
16.3,2.03,3,1
15.2,1.66,3.03,1
21,1.82,2.69,1
18.6,2.81,3.24,1
25.5,1.56,1.28,3
18.5,1.64,1.5,2
24,1.25,1.57,3
16,2.1,3.17,1
16,0.41,1.09,2
18.1,2.08,2.65,2
22.5,1.63,1.76,2
16.5,1.86,3.93,1
16.8,2.18,3.49,1
16.4,1.62,2.9,1
20.4,1.46,1.02,2
19.5,1.42,1.64,2
18.5,1.87,0.83,3
12.4,2.91,3.27,1
22,1.55,0.63,3
22.5,1.62,1.59,2
17,1.35,2.19,1
19.5,0.97,0.66,3
18.5,0.94,0.7,3
28.5,1.76,2.24,2
19,2.08,2.04,2
16.8,1.66,3.23,1
11.2,1.28,2.76,1
18,1.46,1.94,2
19.5,1.56,0.83,3
18.5,1.95,3.75,2
20,1.4,0.58,3
16,1.77,2.5,2
19.5,0.64,0.51,3
20,1.66,2.61,1
18.5,1.35,1.36,2
20,1.46,0.68,3
22.5,1.15,0.47,3
17.5,1.66,2.63,1
20,1.05,2.03,2
14,1.98,2.98,1
15.6,2.29,3.06,1
17.4,2.08,3.54,1
21,0.75,0.5,3
23,1.41,0.75,3
17,2.03,3,1
20,2.49,2.92,2
21,1.44,2.01,2
24.5,1.9,2.45,2
20,1.02,0.8,3
24,1.03,1.84,2
25,2.7,1.31,3
18,0.73,1.79,2
16,1.46,2.03,2
23.5,0.55,0.52,3
18.5,0.94,0.66,3
19,1.54,2.53,1
19,1.63,2.03,2
20.7,1.62,1.46,2
11.4,2.81,3.69,1
10.6,0.42,0.57,2
18.8,1.48,2.68,1
21,0.8,0.47,3
14,1.87,3.74,1
20.5,1.48,1.92,2
22,1.42,1.84,2
17.1,1.68,2.79,1