Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor4,Class
61464,948.743,361.5067374,217.5064023,1.662051018,0.798747599,62161,279.7470203,0.789518304,0.988787182,0.858091332,0.773836256,0.005881601,0.001300983,0.598822552,0.995273632,CALI
56546,951.015,315.4936373,229.1241617,1.376954901,0.687441033,57830,268.3218278,0.768225416,0.977796991,0.785664299,0.850482533,0.005579416,0.001800653,0.723320539,0.995979761,BARBUNYA
187777,1674.447,638.4466932,376.9398753,1.69376268,0.807109712,190000,488.9632931,0.821206158,0.9883,0.841607213,0.765863929,0.003400026,0.000721553,0.586547558,0.993472364,BOMBAY
36143,736.997,299.8903167,154.194303,1.944885841,0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,0.008297328,0.001340099,0.511692947,0.995184367,HOROZ
62934,992.28,368.3417168,218.1674481,1.688344068,0.805720208,64268,283.0725305,0.678892353,0.979243169,0.803205593,0.768505216,0.005852825,0.00125931,0.590600266,0.997136456,BARBUNYA
24873,579.111,205.7128093,154.3199847,1.333027668,0.661242774,25155,177.9586671,0.771686523,0.988789505,0.931996766,0.865083063,0.008270527,0.002857223,0.748368705,0.99759619,DERMASON
54677,911.022,308.8539034,226.3985709,1.364204298,0.680198424,55858,263.8501821,0.753012629,0.978857102,0.827859835,0.854287996,0.005648699,0.001855861,0.729807979,0.995607182,BARBUNYA
24934,589.119,216.8434003,147.5652569,1.469474623,0.732733849,25262,178.1767516,0.721240346,0.987016072,0.902808751,0.821683996,0.008696695,0.002445419,0.675164589,0.99213723,DERMASON
48439,810.37,297.981992,207.3178381,1.4373196,0.718294206,48883,248.343412,0.79979856,0.990917088,0.926911612,0.833417518,0.006151696,0.001830733,0.694584759,0.998340287,BARBUNYA
39496,790.356,274.5507126,183.8462883,1.493370985,0.742698496,40281,224.2495687,0.727165608,0.980511904,0.794543116,0.816787422,0.006951355,0.00190847,0.667141692,0.996290046,SIRA
24310,573.919,211.3574092,146.6762133,1.44097945,0.720001581,24576,175.9330933,0.736555067,0.989176432,0.927456646,0.832396148,0.008694258,0.002574735,0.692883348,0.998430665,DERMASON
168736,1555.86,577.480835,372.935021,1.548475746,0.7635097,169852,463.5098142,0.746916914,0.993429574,0.875944485,0.802641033,0.003422393,0.000876183,0.644232628,0.9975786,BOMBAY
33447,664.412,226.1186154,188.7406408,1.198038824,0.550708725,33791,206.3638608,0.770224525,0.989819774,0.952120901,0.912635435,0.006760505,0.002892999,0.832903437,0.997850654,SEKER
63745,944.139,356.6672994,228.0424993,1.564038723,0.768898917,64278,284.8906014,0.788562168,0.991707894,0.898636624,0.798757278,0.00559522,0.001404935,0.63801319,0.997877335,CALI
33736,655.729,221.390268,194.1359516,1.140387786,0.480682529,33988,207.2534904,0.786863834,0.992585618,0.985949497,0.936145442,0.006562434,0.003108981,0.876368289,0.999399693,SEKER
47542,876.316,338.4535058,186.8224659,1.811631723,0.833851678,50332,246.0332385,0.706335057,0.944568068,0.777975337,0.726933639,0.007119042,0.001226254,0.528432515,0.957325108,HOROZ
25145,599.041,221.5129007,144.9409599,1.528297459,0.75621529,25561,178.9290596,0.759208937,0.983725206,0.88053862,0.807759092,0.008809421,0.00231342,0.652474751,0.997175504,DERMASON
34750,675.599,223.1988366,198.5282098,1.124267613,0.456997571,35091,210.3451311,0.805069039,0.990282409,0.956724018,0.942411414,0.006422988,0.003125209,0.888139273,0.99850622,SEKER
35565,682.802,227.2957017,199.3839165,1.139990154,0.48012413,35922,212.7974727,0.801428668,0.990061801,0.958612545,0.93621424,0.006390994,0.00302865,0.876497104,0.999198069,SEKER
33631,669.076,224.8894003,190.753366,1.178953771,0.52966059,34009,206.9307109,0.762884493,0.988885295,0.94405814,0.92014435,0.006686967,0.002956874,0.846665624,0.998179631,SEKER
186618,1640.612,609.8680528,391.8326654,1.556450257,0.766296076,188480,487.4519642,0.802865256,0.990120968,0.871267726,0.799274469,0.003268002,0.000822708,0.638839677,0.99432218,BOMBAY
34676,668.424,226.4475067,195.193788,1.160116359,0.506938033,34982,210.1210471,0.777907394,0.991252644,0.975292284,0.927901791,0.006530381,0.002986251,0.861001735,0.998862198,SEKER
34459,698.401,254.0993138,173.0599093,1.468273702,0.732216518,35078,209.4625539,0.752544224,0.982353612,0.887774832,0.82433341,0.007373961,0.002100353,0.679525571,0.997729526,SIRA
38998,747.763,281.3657909,177.618235,1.584104193,0.775561834,39652,222.8313168,0.768009768,0.983506507,0.876444167,0.791963075,0.007214877,0.001750767,0.627205511,0.993558881,SIRA
35506,713.086,262.1062149,173.2478277,1.512897555,0.750400622,35941,212.620891,0.760918949,0.987896831,0.877460939,0.811201257,0.007382026,0.001971831,0.658047479,0.995558422,SIRA
39891,742.199,278.3161569,182.9145475,1.521563816,0.753700038,40309,225.3681403,0.794135213,0.989630107,0.910005585,0.809755865,0.006976916,0.001850375,0.65570456,0.997696333,SIRA
33333,679.262,220.5312914,192.7167056,1.144328878,0.486151306,33834,206.0118777,0.772240756,0.98519241,0.907840655,0.934161662,0.006616005,0.003107876,0.87265801,0.998607762,SEKER
166862,1545.005,580.3276343,368.7448381,1.573791886,0.772176558,168545,460.928733,0.837849916,0.990014536,0.87843075,0.794256047,0.00347789,0.000853764,0.630842669,0.992815074,BOMBAY
62005,960.799,350.4905657,226.1835632,1.549584597,0.763900332,62953,280.9754757,0.798714431,0.984941147,0.844056446,0.801663449,0.005652618,0.001440117,0.642664286,0.995862678,BARBUNYA
33954,716.75,277.3684803,156.3563259,1.773951126,0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,0.008168949,0.001591181,0.561935991,0.996846984,HOROZ
37789,766.378,313.5680678,154.3409867,2.031657789,0.870477123,38251,219.3500608,0.780587057,0.987921884,0.808517092,0.699529331,0.008297866,0.00122566,0.489341285,0.994174034,HOROZ
43029,812.609,323.9667455,170.3234323,1.902067972,0.850643111,43500,234.0645731,0.740500447,0.989172414,0.818856614,0.722495677,0.007529033,0.001265494,0.522000003,0.992879487,HOROZ
41237,799.829,325.4126485,162.9457238,1.997061604,0.865600242,41914,229.138777,0.637554113,0.983847879,0.810032854,0.704148342,0.007891278,0.001196696,0.495824888,0.990192846,HOROZ
28395,610.291,208.1781167,173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,0.988855999,0.958027126,0.913357755,0.007331506,0.003147289,0.834222388,0.998723889,SEKER
62215,998.572,354.267075,224.370612,1.578937062,0.773875735,63401,281.4508808,0.765139217,0.98129367,0.784054408,0.794459606,0.005694239,0.001399274,0.631166065,0.996571493,BARBUNYA
44799,1005.548,362.4496441,157.9861583,2.294186072,0.900002644,46552,238.8301873,0.652523487,0.962343186,0.556765826,0.65893343,0.008090574,0.000940861,0.434193266,0.996120143,HOROZ
35608,689.304,240.389455,188.8797386,1.272711709,0.61857737,35997,212.9260757,0.784144462,0.989193544,0.941750475,0.885754642,0.006750996,0.002563311,0.784561286,0.998520336,SEKER
50167,873.825,309.8928256,206.7723679,1.498714885,0.744844297,50937,252.7342641,0.794598875,0.984883287,0.82561783,0.815553776,0.006177225,0.001685713,0.665127961,0.996837177,BARBUNYA
63640,977.03,380.1375465,214.574044,1.771591472,0.825457536,64680,284.6558705,0.756970216,0.983920841,0.837768905,0.748823349,0.005973249,0.001158532,0.560736407,0.993395837,CALI
24211,574.946,218.0467134,141.63518,1.539495438,0.76030737,24500,175.5744931,0.730853986,0.988204082,0.920382766,0.80521504,0.009006101,0.002335415,0.648371261,0.998164598,DERMASON
187761,1664.833,615.0686123,393.7663939,1.56201398,0.768208999,192202,488.942461,0.816710816,0.976894101,0.851282885,0.794939705,0.003275806,0.000806928,0.631929134,0.987082142,BOMBAY
39728,760.568,282.0889342,179.8807136,1.568199995,0.77030654,40293,224.9072267,0.695944644,0.985977713,0.863039093,0.797291916,0.007100507,0.001769859,0.635674399,0.996864589,SIRA
24056,568.914,200.9852743,152.6078737,1.317004618,0.650742163,24406,175.0115724,0.779874214,0.985659264,0.933985291,0.870768135,0.008354892,0.002962993,0.758237144,0.998601821,DERMASON
54113,872.821,327.6299219,210.7828409,1.554348165,0.765566725,54651,262.485831,0.717755199,0.990155715,0.892608673,0.801165625,0.006054551,0.001538689,0.641866358,0.997683796,BARBUNYA
21961,551.696,204.7763134,136.7099579,1.49788879,0.744514487,22267,167.2172648,0.780419332,0.986257691,0.906697265,0.816584995,0.009324544,0.002557484,0.666811053,0.998808802,DERMASON
63966,995.08,376.335588,218.1566158,1.72507071,0.814839676,65115,285.3840232,0.793229167,0.982354296,0.811788814,0.758323242,0.005883369,0.001200116,0.57505414,0.992009053,BARBUNYA
31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198,0.00694797,0.003071052,0.846495646,0.997871751,SEKER
34865,680,224.8250921,197.677632,1.137331977,0.476359223,35256,210.6928967,0.793179543,0.988909689,0.947505431,0.937141378,0.006448447,0.003068,0.878233963,0.99884357,SEKER
25576,596.602,225.7376431,144.7314481,1.559700025,0.767416478,25970,180.4560185,0.783722498,0.984828648,0.902969492,0.799405965,0.008826151,0.002223416,0.639049897,0.99672614,DERMASON
60294,973.818,348.1459097,221.5746204,1.571235501,0.771324702,61644,277.0716606,0.751083761,0.978100058,0.798966123,0.795849249,0.005774139,0.001428862,0.633376027,0.995182898,BARBUNYA
42710,816.687,335.8384996,163.6708304,2.051914191,0.873206825,43315,233.1953279,0.806229353,0.986032552,0.804689159,0.694367466,0.007863229,0.001127556,0.482146178,0.989322584,HOROZ
34222,671.994,223.2982638,195.2383681,1.143721216,0.485315785,34576,208.7409967,0.7843326,0.989761684,0.95232341,0.93480797,0.006524992,0.003073614,0.873865941,0.999459017,SEKER
38253,754.503,292.3137852,167.5594087,1.744538176,0.819403182,38857,220.6926195,0.808560558,0.984455825,0.844410107,0.75498533,0.007641591,0.001531502,0.570002848,0.994391729,HOROZ
56270,920.481,374.09942,194.0923458,1.927430052,0.854880123,57445,267.6661898,0.766621253,0.979545652,0.834559148,0.7154948,0.006648293,0.001074771,0.511932809,0.986714681,CALI
165397,1538.645,571.3442984,370.2837764,1.542990363,0.761561892,166731,458.9008618,0.803990861,0.991999088,0.877931501,0.803194962,0.003454381,0.000886817,0.645122146,0.995417255,BOMBAY
52596,887.942,312.6866807,214.5149593,1.457645106,0.727565667,53574,258.7804225,0.752920293,0.981744876,0.838288258,0.82760296,0.005945066,0.001720381,0.68492666,0.998379994,BARBUNYA
179387,1617.553,621.6396129,370.241889,1.679009403,0.80328912,181149,477.9148692,0.822261337,0.990273201,0.861556557,0.768797321,0.003465355,0.000746749,0.591049321,0.992377368,BOMBAY
25846,597.185,211.2826191,156.3686136,1.351183043,0.672505442,26176,181.4060343,0.712953768,0.987393032,0.910721151,0.858594214,0.008174674,0.002740325,0.737184024,0.996070553,DERMASON
149264,1501.818,581.2359196,329.4838723,1.764080031,0.823808839,151608,435.9458996,0.807705628,0.984539074,0.831630348,0.75003262,0.003894013,0.000760147,0.562548931,0.992381336,BOMBAY
68234,988.005,383.9724637,228.1752131,1.68279656,0.8042812,69335,294.7511274,0.788103488,0.984120574,0.878400168,0.767636107,0.005627289,0.001205315,0.589265193,0.99161344,CALI
36322,719.437,272.0582306,170.8914975,1.591993952,0.778097847,36717,215.0502424,0.771856007,0.98924204,0.8818487,0.790456668,0.007490178,0.001803782,0.624821744,0.994712437,SIRA
153237,1527.853,573.8191367,342.735575,1.674232786,0.802026459,155159,441.7096423,0.662148265,0.987612707,0.824917207,0.769771543,0.003744651,0.000811033,0.592548228,0.992063672,BOMBAY
24173,581.924,221.0724612,139.5007779,1.584739989,0.775767912,24479,175.4366539,0.751087497,0.987499489,0.897031881,0.793570818,0.009145429,0.002237312,0.629754643,0.997997366,DERMASON
64530,1004.942,371.617998,221.6379579,1.676689325,0.802677421,65642,286.6394038,0.697923426,0.983059626,0.802951908,0.771328099,0.005758841,0.001257394,0.594947036,0.997541344,BARBUNYA
39180,732.81,265.8154505,188.2660433,1.411913938,0.705953217,39663,223.350678,0.807768431,0.987822404,0.916835712,0.840247162,0.006784468,0.002086045,0.706015294,0.996832834,SIRA
34879,675.467,223.8000145,198.8687463,1.125365442,0.458682478,35258,210.7351942,0.792362389,0.989250667,0.960650949,0.941622791,0.006416469,0.0031116,0.88665348,0.997809185,SEKER
62353,974.133,336.414515,236.4006216,1.423069503,0.71147998,63337,281.762853,0.767421538,0.984464057,0.825716011,0.837546659,0.005395322,0.001637696,0.701484406,0.998261064,BARBUNYA
63652,956.09,362.3406291,225.2317375,1.608745877,0.783333062,64607,284.6827067,0.783988176,0.98521832,0.875032868,0.785677023,0.005692525,0.001338015,0.617288384,0.993060143,CALI
24388,589.598,229.5043806,135.5364056,1.693304316,0.806992782,24631,176.2151129,0.759277709,0.990134384,0.881605005,0.767807187,0.009410545,0.002017452,0.589527877,0.998250098,DERMASON
35867,709.926,263.9178839,173.2989923,1.522904897,0.754204312,36262,213.6990471,0.788476335,0.989107054,0.89429078,0.809717947,0.007358237,0.001951141,0.655643154,0.998482169,SIRA
39434,728.011,265.9602824,189.8956657,1.400560046,0.700145607,39831,224.0734884,0.723294204,0.990032889,0.934985366,0.842507334,0.006744441,0.002096141,0.709818608,0.994143582,SIRA
148325,1454.931,549.7336941,344.9498497,1.593662657,0.778628353,149846,434.5724974,0.778886952,0.989849579,0.880520408,0.790514575,0.003706278,0.000892806,0.624913293,0.995900979,BOMBAY
30279,634.927,212.5605564,181.5101816,1.171066849,0.52040066,30600,196.3477022,0.775688485,0.989509804,0.943851783,0.923725952,0.007020065,0.003152779,0.853269634,0.999235781,SEKER
24442,583.818,212.6703587,146.8278997,1.448432888,0.723426566,24761,176.4100931,0.759445687,0.987116837,0.901138702,0.829500144,0.008701021,0.002541065,0.688070488,0.996623924,DERMASON
25723,596.77,225.1437187,145.6950274,1.545308188,0.762388068,26015,180.9738678,0.73626814,0.988775706,0.907648128,0.803814865,0.008752623,0.002253939,0.646118337,0.998451956,DERMASON
181822,1603.247,579.5137629,401.9407076,1.441789179,0.720377032,183395,481.1475455,0.766269671,0.991422885,0.888905151,0.830260774,0.003187259,0.000934233,0.689332953,0.993872793,BOMBAY
35128,669.663,228.4024536,195.966868,1.16551566,0.51366751,35376,211.4860722,0.785527404,0.992989597,0.984352571,0.925936078,0.006502006,0.002948161,0.857357621,0.999263734,SEKER
41246,818.326,315.1393044,167.6372112,1.879888731,0.846778042,42065,229.1637804,0.699084746,0.980530132,0.773996509,0.727182479,0.007640482,0.001317875,0.528794357,0.994074553,HOROZ
45720,860.356,342.495294,171.5549295,1.996417678,0.865506792,46478,241.2726922,0.63690186,0.983691209,0.776175093,0.704455496,0.007491148,0.001138,0.496257546,0.990737337,HOROZ
24796,583.933,218.4702547,144.8632265,1.508113963,0.748548659,25139,177.6829979,0.758681884,0.986355861,0.913830088,0.813305217,0.008810706,0.002377961,0.661465376,0.99756517,DERMASON
44375,843.947,350.6837627,161.736346,2.168243387,0.887294733,44978,237.6972966,0.593844095,0.986593446,0.782920893,0.677810956,0.007902733,0.001028943,0.459427693,0.996151056,HOROZ
177893,1612.656,610.8765588,376.4234083,1.622844237,0.787588085,181791,475.9205841,0.717889427,0.978557794,0.859577917,0.779078158,0.003433955,0.000780366,0.606962776,0.985006043,BOMBAY
60515,931.443,346.2961144,223.4780809,1.549575301,0.763897061,61176,277.5789816,0.769607407,0.989195109,0.876516983,0.801565395,0.005722484,0.001457203,0.642507082,0.995613105,CALI
35134,668.885,226.2664317,197.955771,1.143015081,0.484341376,35360,211.5041327,0.797575537,0.993608597,0.986812285,0.934757008,0.006440099,0.003032964,0.873770664,0.998733047,SEKER
162019,1575.185,596.6920015,350.2521852,1.703606792,0.809594246,164165,454.1904862,0.715631625,0.986927786,0.82056441,0.761180785,0.003682852,0.000762632,0.579396188,0.987063281,BOMBAY
171914,1595.676,598.5416463,368.3583724,1.624889486,0.788194304,174673,467.854361,0.815980331,0.984204771,0.848460607,0.781657156,0.003481634,0.00080173,0.610987909,0.99278783,BOMBAY
67922,1003.522,388.2469891,224.6437061,1.728278953,0.815604146,68623,294.0764805,0.676884748,0.989784766,0.847552353,0.757446905,0.005716071,0.00116061,0.573725814,0.99155825,CALI
39120,734.947,278.3169499,179.575513,1.549860252,0.76399728,39542,223.1795936,0.770321361,0.989327803,0.910115828,0.801890053,0.007114441,0.001814596,0.643027656,0.996603006,SIRA
155247,1508.453,569.6478553,350.8270512,1.623728425,0.7878505,157360,444.597143,0.799624002,0.986572191,0.857372431,0.780477165,0.0036693,0.000839854,0.609144605,0.98908541,BOMBAY
34425,680.503,232.6456666,188.5544051,1.233838406,0.585767825,34791,209.3591921,0.758928571,0.989480038,0.934165286,0.899905832,0.006758044,0.00273394,0.809830506,0.99919998,SEKER
43912,844.203,354.3024896,159.6834077,2.218780866,0.892676511,44602,236.4540016,0.704056437,0.984529842,0.774282243,0.667378888,0.008068466,0.000987326,0.445394581,0.988232973,HOROZ
154568,1481.09,526.7970164,375.0376977,1.404650838,0.70225987,156202,443.6238158,0.75938372,0.989539186,0.885455117,0.842115278,0.003408189,0.001057279,0.709158141,0.996119577,BOMBAY
45817,862.123,333.4589204,175.9104731,1.895617211,0.849534747,46654,241.5284998,0.757932175,0.982059416,0.774636667,0.724312606,0.007278061,0.001235662,0.524628752,0.994495292,HOROZ
31748,641.826,219.7765183,184.1151053,1.193690859,0.546072628,32020,201.0542441,0.775589974,0.991505309,0.968482156,0.914812218,0.006922531,0.002990698,0.836881394,0.99897767,SEKER
65458,1015.938,390.7011898,217.2378056,1.79849538,0.831168689,67706,288.6931141,0.74125494,0.966797625,0.796963049,0.738910251,0.005968731,0.001097561,0.545988358,0.98195754,CALI
35223,674.287,231.2689629,194.31596,1.190169675,0.542251338,35537,211.7718501,0.766784222,0.991164139,0.973523935,0.915695074,0.006565851,0.002847569,0.838497468,0.997954259,SEKER
37215,713.286,268.1274258,177.6042502,1.509690367,0.749161414,37638,217.6777656,0.805519481,0.988761358,0.919179833,0.811844462,0.007204821,0.001930609,0.65909143,0.995023983,SIRA
35106,688.658,231.1126201,193.5514908,1.194062723,0.54647266,35503,211.419837,0.787430186,0.988817846,0.930216457,0.914791398,0.00658328,0.002843874,0.836843303,0.999243393,SEKER
64413,998.511,333.03266,247.2226217,1.347096223,0.670026181,65455,286.3794315,0.75831744,0.984080666,0.81185353,0.859913954,0.005170271,0.001743866,0.739452008,0.996113008,BARBUNYA
37084,730.084,271.3184832,175.4277553,1.546610926,0.762850402,37800,217.2943057,0.726368159,0.981058201,0.874280465,0.800882797,0.007316322,0.001856729,0.641413254,0.992016748,SIRA
68033,1005.269,384.9832288,226.3186333,1.70106731,0.808958166,68739,294.3166763,0.66589343,0.989729266,0.845989369,0.764492202,0.005658772,0.001192324,0.584448327,0.994185943,CALI
38749,729.743,268.5252537,184.3366137,1.456711438,0.727150803,39196,222.1187951,0.818871513,0.988595775,0.914387936,0.827180282,0.006929863,0.002001267,0.684227219,0.996721616,SIRA
167563,1560.256,576.8638252,372.7615058,1.5475413,0.7631797,169787,461.8959167,0.819703648,0.986901235,0.864960487,0.800701823,0.003442668,0.000872887,0.64112341,0.992164955,BOMBAY
168405,1546.583,584.3296465,370.0301966,1.579140438,0.773942481,170625,463.0549703,0.756138957,0.986989011,0.884745539,0.792455035,0.003469788,0.000844075,0.627984982,0.991676479,BOMBAY
39419,742.776,274.0830961,184.586766,1.484846948,0.739214478,39978,224.0308675,0.817143449,0.98601731,0.897841636,0.817383015,0.006953071,0.001914515,0.668114994,0.992048509,SIRA
58531,972.953,343.3965287,219.7961494,1.562340968,0.768320642,60295,272.9908127,0.684573099,0.970743843,0.776984017,0.794972546,0.005866917,0.001445434,0.631981349,0.987370352,BARBUNYA
34349,674.863,238.2312433,183.7249369,1.296673425,0.636587835,34645,209.1279635,0.783365262,0.991456199,0.947747671,0.877836008,0.006935609,0.002540493,0.770596056,0.999211428,SEKER
45478,838.042,331.8432701,176.2767668,1.882512801,0.847243394,46206,240.6333061,0.608010909,0.98424447,0.813728734,0.725141438,0.007296787,0.001244521,0.525830105,0.989881905,HOROZ
34729,671.193,228.8102714,193.6576351,1.181519496,0.532598937,35043,210.281564,0.777143752,0.99103958,0.968740162,0.919021523,0.00658845,0.002899117,0.844600559,0.997912027,SEKER
48638,874.041,301.9839706,205.4110154,1.470144968,0.733021909,49596,248.8530188,0.747747748,0.980683926,0.800058902,0.824060358,0.006208807,0.001766136,0.679075473,0.998339389,BARBUNYA
39158,742.484,281.3341448,178.5597857,1.575573938,0.772767383,39590,223.2879623,0.69429078,0.989088154,0.89259853,0.793675302,0.007184589,0.001758544,0.629920485,0.992486299,HOROZ
43900,839.181,347.1792098,162.2413926,2.139892934,0.884091888,44449,236.4216911,0.745103364,0.987648766,0.78336308,0.680978827,0.00790841,0.001049067,0.463732163,0.992337179,HOROZ
39649,791.745,308.2641445,165.5534903,1.862021416,0.843549934,40470,224.683499,0.683674173,0.979713368,0.794824862,0.728866795,0.007774828,0.001353515,0.531246805,0.989192928,HOROZ
33168,680.621,234.315548,180.5827539,1.297552191,0.637220052,33542,205.5013606,0.761240274,0.9888498,0.899742964,0.877028274,0.007064506,0.002578196,0.769178593,0.998049369,SEKER
23687,659.999,217.1394064,139.6625959,1.554742735,0.765703905,24419,173.6641157,0.785039605,0.970023342,0.683334533,0.799781664,0.009167029,0.002313631,0.63965071,0.994492294,DERMASON
66291,975.667,378.6284053,226.0554228,1.674936175,0.802213198,67815,290.5242204,0.774029704,0.977527096,0.87510709,0.767306986,0.005711611,0.001221279,0.588760011,0.98613544,CALI
166208,1531.455,564.8854422,377.1336328,1.497838944,0.744494565,167540,460.0245627,0.758982227,0.99204966,0.890539746,0.814367885,0.003398666,0.000922085,0.663195052,0.993359376,BOMBAY
39489,747.39,281.8853085,178.9609376,1.575121992,0.772617776,39933,224.2296956,0.775510605,0.988881376,0.888364989,0.795464286,0.007138325,0.001763026,0.63276343,0.996679594,SIRA
35300,685.599,238.2169831,188.8076239,1.261691547,0.609759171,35640,212.0031979,0.767224516,0.990460157,0.943722302,0.88995837,0.006748356,0.002611299,0.7920259,0.999292383,SEKER
25021,584.754,217.0879252,147.092512,1.475859799,0.735457243,25339,178.4873291,0.708007923,0.987450176,0.919534704,0.822189115,0.008676229,0.002445669,0.675994941,0.997673758,DERMASON
32885,659.728,227.0674037,184.5596932,1.230319577,0.582547095,33225,204.6227808,0.785669916,0.989766742,0.949462632,0.90115436,0.006904893,0.002808882,0.81207918,0.999116914,SEKER
23553,577.69,216.3088938,138.9570923,1.556659615,0.766368516,23850,173.1722004,0.695106835,0.98754717,0.886883135,0.800578272,0.009183921,0.002327143,0.640925569,0.99770295,DERMASON
25216,587.728,221.2922092,145.4352474,1.521585813,0.753708323,25496,179.1814956,0.814470284,0.989017885,0.917346265,0.809705395,0.008775865,0.002326901,0.655622826,0.997586391,DERMASON
35062,701.948,223.2641008,200.2523714,1.114913642,0.442171641,35579,211.2873042,0.778740227,0.985468956,0.894204122,0.946355923,0.006367694,0.003150504,0.895589533,0.998504989,SEKER
